exp1	exp2	replicate_type	size1	size2	jaccard_index	alpha	dist_thr	quant_thr
GM_set1_bio1	GM_set1_bio2	bio	14641	517	0.016156063551652475	0.05	25000000	0.01
GM_set1_bio1	GM_set1_bio2	bio	6046662	1829457	0.057853334262768896	optimal	25000000	0.05
GM_set1_bio1	GM_set1_bio2	bio	10948	200	0.009691151163843855	0.05	25000000	0.05
GM_set1_bio1	GM_set1_bio2	bio	2812138	997547	0.04765808432667415	optimal	25000000	0.1
GM_set1_bio1	GM_set1_bio2	bio	606	40	0.0642504118616145	0.05	25000000	0.1
GM_set1_bio1	GM_set1_bio2	bio	2655764	997462	0.04769694437282741	optimal	25000000	0.25
GM_set1_bio1	GM_set1_bio2	bio	55	40	0.6666666666666666	0.05	25000000	0.25
GM_set1_bio1	GM_set1_bio2	bio	20549949	9955350	0.37966859242483664	optimal	5000000	0
GM_set1_bio1	GM_set1_bio2	bio	23515	863	0.06958581958581958	0.05	5000000	0
GM_set1_bio1	GM_set1_bio2	bio	4434061	3081480	0.06725585173382866	optimal	5000000	0.01
GM_set1_bio1	GM_set1_bio2	bio	7017	272	0.01617175519308518	0.05	5000000	0.01
GM_set1_bio1	GM_set1_bio2	bio	5139659	2697103	0.06934730718108241	optimal	5000000	0.05
GM_set1_bio1	GM_set1_bio2	bio	4424	196	0.020318021201413426	0.05	5000000	0.05
GM_set1_bio1	GM_set1_bio2	bio	4632659	993611	0.044431697519176076	optimal	5000000	0.1
GM_set1_bio1	GM_set1_bio2	bio	3904	14	0.003586065573770492	0.05	5000000	0.1
GM_set1_bio1	GM_set1_bio2	bio	2577429	993527	0.04773149107143381	optimal	5000000	0.25
GM_set1_bio1	GM_set1_bio2	bio	17	14	0.631578947368421	0.05	5000000	0.25
GM_set1_bio1	GM_set1_bio2	bio	23375300	11732567	0.4272298253624758	optimal	50000000	0
GM_set1_bio1	GM_set1_bio2	bio	53372	1755	0.05536517660572413	0.05	50000000	0
GM_set1_bio1	GM_set1_bio2	bio	6009441	5466273	0.0966380459555925	optimal	50000000	0.01
GM_set1_bio1	GM_set1_bio2	bio	18580	680	0.016090741229227115	0.05	50000000	0.01
GM_set1_bio1	GM_set1_bio2	bio	6440003	1212297	0.04763943997023134	optimal	50000000	0.05
GM_set1_bio1	GM_set1_bio2	bio	14615	102	0.004504811958228107	0.05	50000000	0.05
GM_set1_bio1	GM_set1_bio2	bio	2740556	998824	0.04754807894331377	optimal	50000000	0.1
GM_set1_bio1	GM_set1_bio2	bio	171	40	0.21965317919075145	0.05	50000000	0.1
GM_set1_bio1	GM_set1_bio2	bio	2694305	998663	0.04766803189046285	optimal	50000000	0.25
GM_set1_bio1	GM_set1_bio2	bio	56	40	0.6551724137931034	0.05	50000000	0.25
GM_set1_bio1	GM_set1_bio2	bio	20457384	11124604	0.3938688636446891	optimal	10000000	0
GM_set1_bio1	GM_set1_bio2	bio	12932	441	0.07742507251047373	0.05	10000000	0
GM_set1_bio1	GM_set1_bio2	bio	4720747	3560372	0.06943781517032757	optimal	10000000	0.01
GM_set1_bio1	GM_set1_bio2	bio	3973	158	0.021513353115727003	0.05	10000000	0.01
GM_set1_bio1	GM_set1_bio2	bio	4978952	2032981	0.06250424278423623	optimal	10000000	0.05
GM_set1_bio1	GM_set1_bio2	bio	2991	65	0.011920529801324504	0.05	10000000	0.05
GM_set1_bio1	GM_set1_bio2	bio	4099782	1118959	0.05003222284081313	optimal	10000000	0.1
GM_set1_bio1	GM_set1_bio2	bio	1719	11	0.006399069226294357	0.05	10000000	0.1
GM_set1_bio1	GM_set1_bio2	bio	2373848	1118868	0.050739849593297824	optimal	10000000	0.25
GM_set1_bio1	GM_set1_bio2	bio	12	11	0.4375	0.05	10000000	0.25
GM_set1_bio1	GM_set1_bio2	bio	22321786	13283771	0.44892500236532645	optimal	100000000	0
GM_set1_bio1	GM_set1_bio2	bio	32273	1018	0.06432430704306404	0.05	100000000	0
GM_set1_bio1	GM_set1_bio2	bio	5890205	4858702	0.08932877248337186	optimal	100000000	0.01
GM_set1_bio1	GM_set1_bio2	bio	11157	406	0.018138592938275952	0.05	100000000	0.01
GM_set1_bio1	GM_set1_bio2	bio	5855112	1195561	0.052112813928703705	optimal	100000000	0.05
GM_set1_bio1	GM_set1_bio2	bio	9325	61	0.005140286999357464	0.05	100000000	0.05
GM_set1_bio1	GM_set1_bio2	bio	2463949	1098971	0.05022319586291789	optimal	100000000	0.1
GM_set1_bio1	GM_set1_bio2	bio	100	30	0.3	0.05	100000000	0.1
GM_set1_bio1	GM_set1_bio2	bio	2401456	1098849	0.050381510335003495	optimal	100000000	0.25
GM_set1_bio1	GM_set1_bio2	bio	46	30	0.6521739130434783	0.05	100000000	0.25
GM_set1_bio1	GM_set1_bio2	bio	20624290	12500821	0.4115760610456767	optimal	25000000	0
GM_set1_bio1	GM_set1_bio2	bio	19816	756	0.09940145361265498	0.05	25000000	0
GM_set1_bio1	GM_set1_bio2	bio	5373810	4210625	0.07775338649289057	optimal	25000000	0.01
GM_set1_bio1	GM_set1_bio2	bio	6809	254	0.023178328263074026	0.05	25000000	0.01
GM_set1_bio1	GM_set1_bio2	bio	5373058	1770963	0.0604859695327908	optimal	25000000	0.05
GM_set1_bio1	GM_set1_bio2	bio	5414	108	0.01451405474921918	0.05	25000000	0.05
GM_set1_bio1	GM_set1_bio2	bio	2574349	1097240	0.04989954493541194	optimal	25000000	0.1
GM_set1_bio1	GM_set1_bio2	bio	344	28	0.08139534883720931	0.05	25000000	0.1
GM_set1_bio1	GM_set1_bio2	bio	2390017	1097144	0.050271877445225446	optimal	25000000	0.25
GM_set1_bio1	GM_set1_bio2	bio	46	28	0.6086956521739131	0.05	25000000	0.25
GM_set1_bio1	GM_set1_bio2	bio	19568763	10146272	0.38318807742157474	optimal	5000000	0
GM_set1_bio1	GM_set1_bio2	bio	8356	385	0.11634738186462325	0.05	5000000	0
GM_set1_bio1	GM_set1_bio2	bio	4143329	2812745	0.06405900539075683	optimal	5000000	0.01
GM_set1_bio1	GM_set1_bio2	bio	2470	113	0.02459341531138437	0.05	5000000	0.01
GM_set1_bio1	GM_set1_bio2	bio	4777164	2385177	0.066382023816915	optimal	5000000	0.05
GM_set1_bio1	GM_set1_bio2	bio	1673	96	0.0314868804664723	0.05	5000000	0.05
GM_set1_bio1	GM_set1_bio2	bio	4563333	1116209	0.049308933701606425	optimal	5000000	0.1
GM_set1_bio1	GM_set1_bio2	bio	1488	11	0.00739247311827957	0.05	5000000	0.1
GM_set1_bio1	GM_set1_bio2	bio	2357638	1116118	0.05060115906928466	optimal	5000000	0.25
GM_set1_bio1	GM_set1_bio2	bio	11	11	0.375	0.05	5000000	0.25
GM_set1_bio1	GM_set1_bio2	bio	21691615	13002463	0.43274926927638935	optimal	50000000	0
GM_set1_bio1	GM_set1_bio2	bio	27242	896	0.07261845766782297	0.05	50000000	0
GM_set1_bio1	GM_set1_bio2	bio	5693602	4649309	0.08482017977983929	optimal	50000000	0.01
GM_set1_bio1	GM_set1_bio2	bio	9458	346	0.019656786271450857	0.05	50000000	0.01
GM_set1_bio1	GM_set1_bio2	bio	5698402	1306880	0.053837574438855965	optimal	50000000	0.05
GM_set1_bio1	GM_set1_bio2	bio	7769	62	0.0061672876782731595	0.05	50000000	0.05
GM_set1_bio1	GM_set1_bio2	bio	2461272	1098549	0.05019041558655347	optimal	50000000	0.1
GM_set1_bio1	GM_set1_bio2	bio	100	30	0.3	0.05	50000000	0.1
GM_set1_bio1	GM_set1_bio2	bio	2398779	1098427	0.05034827340964353	optimal	50000000	0.25
GM_set1_bio1	GM_set1_bio2	bio	46	30	0.6521739130434783	0.05	50000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	22017544	15667491	0.866448814626566	optimal	10000000	0
GM_set1_bio1	GM_set1_bio3	bio	30842	12644	0.4070862320012943	0.05	10000000	0
GM_set1_bio1	GM_set1_bio3	bio	5236892	3668305	0.11133065455116338	optimal	10000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	9628	4088	0.08848504086977224	0.05	10000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	5730259	4435340	0.12057701300101392	optimal	10000000	0.05
