exp	resolution	dist_thr	count_thr	mean_dist_raw	median_dist_raw	mean_dist_prep	median_dist_prep	mean_dist_filt	median_dist_filt	alpha
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	10000000	0	346687711.17334276	19100000.0	179523.80952380953	40000.0	104333.33333333333	20000.0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	10000000	0	346687711.17334276	19100000.0	179523.80952380953	40000.0			0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	10000000	0.01	346687711.17334276	19100000.0	501105.12129380053	190000.0	212405.06329113923	130000.0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	10000000	0.01	346687711.17334276	19100000.0	501105.12129380053	190000.0	10000.0	10000.0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	10000000	0.05	346687711.17334276	19100000.0	179523.80952380953	40000.0	104333.33333333333	20000.0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	10000000	0.05	346687711.17334276	19100000.0	179523.80952380953	40000.0			0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	10000000	0.1	346687711.17334276	19100000.0	179523.80952380953	40000.0	104333.33333333333	20000.0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	10000000	0.1	346687711.17334276	19100000.0	179523.80952380953	40000.0			0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	10000000	0.25	346687711.17334276	19100000.0	179523.80952380953	40000.0	104333.33333333333	20000.0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	10000000	0.25	346687711.17334276	19100000.0	179523.80952380953	40000.0			0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	100000000	0	346687711.17334276	19100000.0	13148202.247191012	290000.0	86451.6129032258	20000.0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	100000000	0	346687711.17334276	19100000.0	13148202.247191012	290000.0	10000.0	10000.0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	100000000	0.01	346687711.17334276	19100000.0	10342822.58064516	370000.0	9767482.014388489	210000.0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	100000000	0.01	346687711.17334276	19100000.0	10342822.58064516	370000.0	12500.0	10000.0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	100000000	0.05	346687711.17334276	19100000.0	9612415.966386555	355000.0	9978767.12328767	170000.0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	100000000	0.05	346687711.17334276	19100000.0	9612415.966386555	355000.0	12500.0	10000.0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	100000000	0.1	346687711.17334276	19100000.0	13148202.247191012	290000.0	86451.6129032258	20000.0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	100000000	0.1	346687711.17334276	19100000.0	13148202.247191012	290000.0	10000.0	10000.0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	100000000	0.25	346687711.17334276	19100000.0	13148202.247191012	290000.0	86451.6129032258	20000.0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	100000000	0.25	346687711.17334276	19100000.0	13148202.247191012	290000.0	10000.0	10000.0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	25000000	0	346687711.17334276	19100000.0	179523.80952380953	40000.0	104333.33333333333	20000.0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	25000000	0	346687711.17334276	19100000.0	179523.80952380953	40000.0			0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	25000000	0.01	346687711.17334276	19100000.0	877000.0	200000.0	405125.0	130000.0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	25000000	0.01	346687711.17334276	19100000.0	877000.0	200000.0	10000.0	10000.0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	25000000	0.05	346687711.17334276	19100000.0	179523.80952380953	40000.0	104333.33333333333	20000.0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	25000000	0.05	346687711.17334276	19100000.0	179523.80952380953	40000.0			0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	25000000	0.1	346687711.17334276	19100000.0	179523.80952380953	40000.0	104333.33333333333	20000.0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	25000000	0.1	346687711.17334276	19100000.0	179523.80952380953	40000.0			0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	25000000	0.25	346687711.17334276	19100000.0	179523.80952380953	40000.0	104333.33333333333	20000.0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	25000000	0.25	346687711.17334276	19100000.0	179523.80952380953	40000.0			0.05
