CMDLINE /home/stefano/anaconda3/envs/gt/bin/python3.10 memory_benchmark.py
MEM 466.562500 1696868223.6306
MEM 466.562500 1696868223.7316
MEM 466.562500 1696868223.8325
MEM 466.562500 1696868223.9332
MEM 466.562500 1696868224.0339
MEM 466.562500 1696868224.1346
MEM 466.562500 1696868224.2353
MEM 466.562500 1696868224.3359
MEM 466.562500 1696868224.4364
MEM 466.562500 1696868224.5394
MEM 466.562500 1696868224.6401
MEM 466.562500 1696868224.7406
MEM 466.562500 1696868224.8411
MEM 466.562500 1696868224.9418
MEM 466.562500 1696868225.0425
MEM 466.562500 1696868225.1433
MEM 466.562500 1696868225.2441
MEM 466.562500 1696868225.3448
MEM 466.562500 1696868225.4457
MEM 466.562500 1696868225.5467
MEM 466.562500 1696868225.6473
MEM 466.562500 1696868225.7479
MEM 466.562500 1696868225.8486
MEM 466.562500 1696868225.9495
MEM 466.562500 1696868226.0500
MEM 466.562500 1696868226.1507
MEM 466.562500 1696868226.2512
MEM 466.562500 1696868226.3516
MEM 466.562500 1696868226.4523
MEM 466.562500 1696868226.5530
MEM 466.562500 1696868226.6540
MEM 466.562500 1696868226.7551
MEM 466.562500 1696868226.8559
MEM 466.562500 1696868226.9569
MEM 466.562500 1696868227.0575
MEM 466.562500 1696868227.1581
MEM 466.562500 1696868227.2589
MEM 466.562500 1696868227.3595
MEM 466.562500 1696868227.4602
MEM 466.562500 1696868227.5607
MEM 466.562500 1696868227.6611
MEM 466.562500 1696868227.7617
MEM 466.562500 1696868227.8625
MEM 466.562500 1696868227.9631
MEM 466.562500 1696868228.0647
MEM 466.562500 1696868228.1654
MEM 466.562500 1696868228.2661
MEM 466.562500 1696868228.3667
MEM 466.562500 1696868228.4677
MEM 466.562500 1696868228.5684
MEM 466.562500 1696868228.6691
MEM 466.562500 1696868228.7699
MEM 466.562500 1696868228.8706
MEM 466.562500 1696868228.9712
MEM 466.562500 1696868229.0720
MEM 466.562500 1696868229.1729
MEM 466.562500 1696868229.2734
MEM 466.562500 1696868229.3739
MEM 466.625000 1696868229.4750
MEM 480.796875 1696868229.5761
MEM 480.796875 1696868229.6772
MEM 458.937500 1696868229.7777
MEM 459.949219 1696868229.8787
MEM 488.832031 1696868229.9798
MEM 488.957031 1696868230.0809
MEM 465.968750 1696868230.1816
MEM 465.968750 1696868230.2826
MEM 480.816406 1696868230.3834
MEM 442.835938 1696868230.4841
MEM 442.835938 1696868230.5847
MEM 459.460938 1696868230.6852
MEM 494.640625 1696868230.7860
MEM 507.640625 1696868230.8869
MEM 520.015625 1696868230.9875
MEM 530.492188 1696868231.0883
MEM 517.714844 1696868231.1892
MEM 517.839844 1696868231.2899
MEM 518.089844 1696868231.3906
MEM 518.339844 1696868231.4914
MEM 518.464844 1696868231.5922
MEM 518.714844 1696868231.6927
MEM 518.839844 1696868231.7934
MEM 519.089844 1696868231.8942
MEM 519.339844 1696868231.9949
MEM 519.464844 1696868232.0955
MEM 519.714844 1696868232.1963
MEM 519.964844 1696868232.2969
MEM 520.089844 1696868232.3976
MEM 520.339844 1696868232.4982
MEM 520.589844 1696868232.5989
MEM 520.714844 1696868232.6997
MEM 520.964844 1696868232.8005
MEM 521.089844 1696868232.9013
MEM 521.214844 1696868233.0022
MEM 521.464844 1696868233.1029
MEM 521.589844 1696868233.2037
MEM 521.714844 1696868233.3043
MEM 521.964844 1696868233.4048
MEM 522.089844 1696868233.5053
MEM 522.214844 1696868233.6060
MEM 522.464844 1696868233.7068
MEM 518.503906 1696868233.8074
MEM 518.503906 1696868233.9080
MEM 518.503906 1696868234.0089
MEM 533.128906 1696868234.1094
MEM 534.378906 1696868234.2104
MEM 572.628906 1696868234.3112
MEM 557.328125 1696868234.4120
MEM 458.835938 1696868234.5131
MEM 475.640625 1696868234.6141
MEM 506.746094 1696868234.7152
MEM 519.246094 1696868234.8158
MEM 530.871094 1696868234.9168
MEM 530.871094 1696868235.0174
MEM 530.871094 1696868235.1179
MEM 530.871094 1696868235.2185
MEM 530.871094 1696868235.3191
MEM 530.871094 1696868235.4196
MEM 530.871094 1696868235.5202
MEM 530.871094 1696868235.6210
MEM 533.496094 1696868235.7217
MEM 533.621094 1696868235.8222
MEM 533.746094 1696868235.9230
MEM 533.996094 1696868236.0239
MEM 534.121094 1696868236.1246
MEM 534.246094 1696868236.2250
MEM 534.496094 1696868236.3255
MEM 534.621094 1696868236.4260
MEM 534.621094 1696868236.5266
MEM 534.871094 1696868236.6271
MEM 534.996094 1696868236.7278
MEM 535.121094 1696868236.8285
MEM 535.246094 1696868236.9290
MEM 535.371094 1696868237.0295
MEM 535.496094 1696868237.1302
MEM 535.621094 1696868237.2308
MEM 535.871094 1696868237.3313
MEM 535.996094 1696868237.4320
MEM 536.246094 1696868237.5325
MEM 536.371094 1696868237.6336
MEM 536.496094 1696868237.7342
MEM 536.746094 1696868237.8348
MEM 536.871094 1696868237.9353
MEM 536.996094 1696868238.0358
MEM 537.246094 1696868238.1365
MEM 537.371094 1696868238.2370
MEM 537.621094 1696868238.3374
MEM 537.746094 1696868238.4381
MEM 537.996094 1696868238.5388
MEM 538.121094 1696868238.6395
MEM 538.371094 1696868238.7403
MEM 538.621094 1696868238.8411
MEM 538.621094 1696868238.9420
MEM 533.519531 1696868239.0427
MEM 533.519531 1696868239.1438
MEM 533.519531 1696868239.2446
MEM 533.519531 1696868239.3453
MEM 533.519531 1696868239.4462
MEM 539.414062 1696868239.5470
MEM 573.039062 1696868239.6479
MEM 602.164062 1696868239.7487
MEM 477.960938 1696868239.8495
MEM 493.210938 1696868239.9502
MEM 493.210938 1696868240.0507
MEM 500.835938 1696868240.1514
MEM 500.835938 1696868240.2521
MEM 500.835938 1696868240.3534
MEM 513.460938 1696868240.4541
MEM 522.960938 1696868240.5546
MEM 523.710938 1696868240.6553
MEM 530.570312 1696868240.7558
MEM 531.320312 1696868240.8566
MEM 533.695312 1696868240.9571
MEM 533.945312 1696868241.0576
MEM 534.070312 1696868241.1581
MEM 534.195312 1696868241.2586
MEM 534.445312 1696868241.3590
MEM 534.695312 1696868241.4595
MEM 534.820312 1696868241.5599
MEM 535.070312 1696868241.6605
MEM 535.195312 1696868241.7609
MEM 535.445312 1696868241.8613
MEM 535.695312 1696868241.9618
MEM 535.820312 1696868242.0622
MEM 535.945312 1696868242.1626
MEM 536.195312 1696868242.2632
MEM 536.320312 1696868242.3640
MEM 536.445312 1696868242.4647
MEM 536.695312 1696868242.5652
MEM 536.820312 1696868242.6656
MEM 537.070312 1696868242.7661
MEM 537.320312 1696868242.8666
MEM 537.445312 1696868242.9670
MEM 537.695312 1696868243.0674
MEM 537.820312 1696868243.1679
MEM 538.070312 1696868243.2689
MEM 538.195312 1696868243.3696
MEM 538.320312 1696868243.4701
MEM 538.445312 1696868243.5706
MEM 534.265625 1696868243.6711
MEM 534.265625 1696868243.7716
MEM 534.265625 1696868243.8721
MEM 534.265625 1696868243.9729
MEM 556.796875 1696868244.0736
MEM 586.921875 1696868244.1746
MEM 460.410156 1696868244.2754
MEM 478.050781 1696868244.3760
MEM 516.945312 1696868244.4767
MEM 530.570312 1696868244.5772
MEM 530.570312 1696868244.6777
MEM 530.570312 1696868244.7781
MEM 530.570312 1696868244.8786
MEM 530.570312 1696868244.9794
MEM 533.320312 1696868245.0800
MEM 533.570312 1696868245.1807
MEM 533.695312 1696868245.2814
MEM 533.820312 1696868245.3820
MEM 534.070312 1696868245.4827
MEM 534.195312 1696868245.5833
MEM 534.445312 1696868245.6839
MEM 534.570312 1696868245.7850
MEM 534.820312 1696868245.8856
MEM 534.945312 1696868245.9865
MEM 535.195312 1696868246.0872
MEM 535.320312 1696868246.1880
MEM 535.570312 1696868246.2887
MEM 535.820312 1696868246.3895
MEM 535.945312 1696868246.4903
MEM 536.195312 1696868246.5910
MEM 536.320312 1696868246.6917
MEM 536.570312 1696868246.7924
MEM 536.695312 1696868246.8932
MEM 536.945312 1696868246.9938
MEM 537.195312 1696868247.0946
MEM 537.320312 1696868247.1952
MEM 537.570312 1696868247.2959
MEM 537.695312 1696868247.3967
MEM 537.945312 1696868247.4974
MEM 538.195312 1696868247.5981
MEM 538.320312 1696868247.6987
MEM 538.570312 1696868247.7993
MEM 538.820312 1696868247.9001
MEM 533.605469 1696868248.0006
MEM 533.605469 1696868248.1014
MEM 533.605469 1696868248.2020
MEM 533.605469 1696868248.3027
MEM 533.605469 1696868248.4037
MEM 533.605469 1696868248.5045
MEM 556.390625 1696868248.6055
MEM 602.140625 1696868248.7064
MEM 471.546875 1696868248.8074
MEM 494.214844 1696868248.9079
MEM 494.214844 1696868249.0085
MEM 501.839844 1696868249.1090
MEM 501.839844 1696868249.2095
MEM 501.839844 1696868249.3100
MEM 509.441406 1696868249.4105
MEM 522.941406 1696868249.5113
MEM 522.941406 1696868249.6120
MEM 528.578125 1696868249.7125
MEM 531.328125 1696868249.8132
MEM 533.453125 1696868249.9137
MEM 533.578125 1696868250.0144
MEM 533.828125 1696868250.1155
MEM 533.953125 1696868250.2163
MEM 534.078125 1696868250.3170
MEM 534.203125 1696868250.4179
MEM 534.453125 1696868250.5185
MEM 534.703125 1696868250.6191
MEM 534.828125 1696868250.7197
MEM 534.953125 1696868250.8202
MEM 535.203125 1696868250.9207
MEM 535.328125 1696868251.0214
MEM 535.578125 1696868251.1221
MEM 535.703125 1696868251.2228
MEM 535.953125 1696868251.3236
MEM 536.078125 1696868251.4243
MEM 536.328125 1696868251.5250
MEM 536.453125 1696868251.6256
MEM 536.703125 1696868251.7263
MEM 536.828125 1696868251.8270
MEM 537.078125 1696868251.9277
MEM 537.328125 1696868252.0285
MEM 537.453125 1696868252.1292
MEM 537.703125 1696868252.2299
MEM 537.953125 1696868252.3306
MEM 534.304688 1696868252.4314
MEM 534.304688 1696868252.5321
MEM 534.304688 1696868252.6327
MEM 534.304688 1696868252.7334
MEM 541.085938 1696868252.8340
MEM 586.960938 1696868252.9348
MEM 456.746094 1696868253.0357
MEM 471.417969 1696868253.1365
MEM 508.621094 1696868253.2376
MEM 530.621094 1696868253.3386
MEM 530.621094 1696868253.4394
MEM 530.621094 1696868253.5403
MEM 530.621094 1696868253.6410
MEM 530.621094 1696868253.7418
MEM 533.121094 1696868253.8425
MEM 533.371094 1696868253.9433
MEM 533.496094 1696868254.0439
MEM 533.746094 1696868254.1446
MEM 533.871094 1696868254.2452
MEM 534.121094 1696868254.3459
MEM 534.246094 1696868254.4467
MEM 534.496094 1696868254.5474
MEM 534.621094 1696868254.6482
MEM 534.871094 1696868254.7489
MEM 535.121094 1696868254.8497
MEM 535.246094 1696868254.9503
MEM 535.496094 1696868255.0509
MEM 535.621094 1696868255.1516
MEM 535.871094 1696868255.2523
MEM 535.996094 1696868255.3530
MEM 536.246094 1696868255.4538
MEM 536.371094 1696868255.5544
MEM 536.496094 1696868255.6551
MEM 536.621094 1696868255.7556
MEM 536.746094 1696868255.8561
MEM 536.996094 1696868255.9566
MEM 537.121094 1696868256.0571
MEM 537.246094 1696868256.1576
MEM 537.371094 1696868256.2581
MEM 537.496094 1696868256.3588
MEM 537.621094 1696868256.4598
MEM 537.746094 1696868256.5605
MEM 537.996094 1696868256.6610
MEM 538.121094 1696868256.7615
MEM 538.246094 1696868256.8623
MEM 533.558594 1696868256.9628
MEM 533.558594 1696868257.0642
MEM 533.558594 1696868257.1648
MEM 533.558594 1696868257.2656
MEM 533.558594 1696868257.3665
MEM 533.558594 1696868257.4673
MEM 556.363281 1696868257.5683
MEM 602.238281 1696868257.6692
MEM 471.613281 1696868257.7700
MEM 494.281250 1696868257.8707
MEM 494.281250 1696868257.9714
MEM 494.281250 1696868258.0721
MEM 501.906250 1696868258.1728
MEM 501.906250 1696868258.2735
MEM 500.906250 1696868258.3742
MEM 513.156250 1696868258.4750
MEM 522.906250 1696868258.5756
MEM 522.906250 1696868258.6764
MEM 528.527344 1696868258.7770
MEM 530.527344 1696868258.8775
MEM 531.277344 1696868258.9783
MEM 534.152344 1696868259.0790
MEM 534.277344 1696868259.1797
MEM 534.402344 1696868259.2804
MEM 534.527344 1696868259.3811
MEM 534.777344 1696868259.4818
MEM 534.902344 1696868259.5825
MEM 535.027344 1696868259.6831
MEM 535.152344 1696868259.7837
MEM 535.277344 1696868259.8843
MEM 535.527344 1696868259.9848
MEM 535.652344 1696868260.0852
MEM 535.902344 1696868260.1857
MEM 536.152344 1696868260.2861
MEM 536.277344 1696868260.3868
MEM 536.527344 1696868260.4873
MEM 536.652344 1696868260.5880
MEM 536.902344 1696868260.6887
MEM 537.027344 1696868260.7893
MEM 537.277344 1696868260.8899
MEM 537.402344 1696868260.9903
MEM 537.652344 1696868261.0909
MEM 537.777344 1696868261.1915
MEM 537.902344 1696868261.2923
MEM 538.152344 1696868261.3929
MEM 538.402344 1696868261.4936
MEM 538.527344 1696868261.5943
MEM 538.777344 1696868261.6951
MEM 539.027344 1696868261.7958
MEM 539.152344 1696868261.8965
MEM 539.402344 1696868261.9972
MEM 539.527344 1696868262.0979
MEM 539.777344 1696868262.1986
MEM 539.902344 1696868262.2992
MEM 540.152344 1696868262.3999
MEM 534.285156 1696868262.5006
MEM 534.285156 1696868262.6012
MEM 534.285156 1696868262.7019
MEM 534.285156 1696868262.8026
MEM 534.285156 1696868262.9033
MEM 554.203125 1696868263.0049
MEM 586.828125 1696868263.1059
MEM 450.152344 1696868263.2066
