	distance_thr	counts_thr	time (s)	file	res	cell	set
29	5000000.0	0.25	336.6339180469513	GM_set1_bio7_tec1_4DNFI7ICGXY9_10kb	10kb	GM	set1
30	10000000.0	0.0	440.44375681877136	GM_set1_bio7_tec1_4DNFI7ICGXY9_10kb	10kb	GM	set1
31	10000000.0	0.01	446.2676675319672	GM_set1_bio7_tec1_4DNFI7ICGXY9_10kb	10kb	GM	set1
32	10000000.0	0.05	488.3258788585663	GM_set1_bio7_tec1_4DNFI7ICGXY9_10kb	10kb	GM	set1
33	10000000.0	0.1	406.9714612960816	GM_set1_bio7_tec1_4DNFI7ICGXY9_10kb	10kb	GM	set1
34	10000000.0	0.25	390.4455819129944	GM_set1_bio7_tec1_4DNFI7ICGXY9_10kb	10kb	GM	set1
35	25000000.0	0.0	525.9648923873901	GM_set1_bio7_tec1_4DNFI7ICGXY9_10kb	10kb	GM	set1
36	25000000.0	0.01	486.81332182884216	GM_set1_bio7_tec1_4DNFI7ICGXY9_10kb	10kb	GM	set1
37	25000000.0	0.05	451.9352066516876	GM_set1_bio7_tec1_4DNFI7ICGXY9_10kb	10kb	GM	set1
38	25000000.0	0.1	331.4567017555237	GM_set1_bio7_tec1_4DNFI7ICGXY9_10kb	10kb	GM	set1
39	25000000.0	0.25	365.8327066898346	GM_set1_bio7_tec1_4DNFI7ICGXY9_10kb	10kb	GM	set1
40	50000000.0	0.0	622.0708236694336	GM_set1_bio7_tec1_4DNFI7ICGXY9_10kb	10kb	GM	set1
41	50000000.0	0.01	634.0549852848053	GM_set1_bio7_tec1_4DNFI7ICGXY9_10kb	10kb	GM	set1
42	50000000.0	0.05	547.3482804298401	GM_set1_bio7_tec1_4DNFI7ICGXY9_10kb	10kb	GM	set1
43	50000000.0	0.1	358.38415455818176	GM_set1_bio7_tec1_4DNFI7ICGXY9_10kb	10kb	GM	set1
44	50000000.0	0.25	373.3998363018036	GM_set1_bio7_tec1_4DNFI7ICGXY9_10kb	10kb	GM	set1
45	100000000.0	0.0	601.8443913459778	GM_set1_bio7_tec1_4DNFI7ICGXY9_10kb	10kb	GM	set1
46	100000000.0	0.01	579.0185942649841	GM_set1_bio7_tec1_4DNFI7ICGXY9_10kb	10kb	GM	set1
47	100000000.0	0.05	474.2957150936127	GM_set1_bio7_tec1_4DNFI7ICGXY9_10kb	10kb	GM	set1
48	100000000.0	0.1	386.5642931461334	GM_set1_bio7_tec1_4DNFI7ICGXY9_10kb	10kb	GM	set1
49	100000000.0	0.25	363.125417470932	GM_set1_bio7_tec1_4DNFI7ICGXY9_10kb	10kb	GM	set1
50	5000000.0	0.0	1564.2232809066772	GM_set1_bio5_tec1_4DNFIROARX7U_5kb	5kb	GM	set1
51	5000000.0	0.01	1492.4741311073303	GM_set1_bio5_tec1_4DNFIROARX7U_5kb	5kb	GM	set1
52	5000000.0	0.05	1351.8023345470428	GM_set1_bio5_tec1_4DNFIROARX7U_5kb	5kb	GM	set1
53	5000000.0	0.1	956.1191868782043	GM_set1_bio5_tec1_4DNFIROARX7U_5kb	5kb	GM	set1
54	5000000.0	0.25	960.896283864975	GM_set1_bio5_tec1_4DNFIROARX7U_5kb	5kb	GM	set1
55	10000000.0	0.0	1721.7415959835052	GM_set1_bio5_tec1_4DNFIROARX7U_5kb	5kb	GM	set1
56	10000000.0	0.01	1706.2868509292605	GM_set1_bio5_tec1_4DNFIROARX7U_5kb	5kb	GM	set1
57	10000000.0	0.05	1413.9338881969452	GM_set1_bio5_tec1_4DNFIROARX7U_5kb	5kb	GM	set1
58	10000000.0	0.1	1082.6615409851074	GM_set1_bio5_tec1_4DNFIROARX7U_5kb	5kb	GM	set1
59	10000000.0	0.25	1006.3810288906096	GM_set1_bio5_tec1_4DNFIROARX7U_5kb	5kb	GM	set1
60	25000000.0	0.0	1539.7657458782196	GM_set1_bio5_tec1_4DNFIROARX7U_5kb	5kb	GM	set1
61	25000000.0	0.01	1403.2271485328674	GM_set1_bio5_tec1_4DNFIROARX7U_5kb	5kb	GM	set1
62	25000000.0	0.05	1096.6248507499697	GM_set1_bio5_tec1_4DNFIROARX7U_5kb	5kb	GM	set1
63	25000000.0	0.1	788.204735994339	GM_set1_bio5_tec1_4DNFIROARX7U_5kb	5kb	GM	set1
64	25000000.0	0.25	733.1988654136658	GM_set1_bio5_tec1_4DNFIROARX7U_5kb	5kb	GM	set1
65	50000000.0	0.0	1245.0601212978363	GM_set1_bio5_tec1_4DNFIROARX7U_5kb	5kb	GM	set1
66	50000000.0	0.01	1139.6611983776093	GM_set1_bio5_tec1_4DNFIROARX7U_5kb	5kb	GM	set1
67	50000000.0	0.05	832.0653018951416	GM_set1_bio5_tec1_4DNFIROARX7U_5kb	5kb	GM	set1
68	50000000.0	0.1	623.0233554840088	GM_set1_bio5_tec1_4DNFIROARX7U_5kb	5kb	GM	set1
69	50000000.0	0.25	633.7951014041901	GM_set1_bio5_tec1_4DNFIROARX7U_5kb	5kb	GM	set1
70	100000000.0	0.0	1059.3218472003937	GM_set1_bio5_tec1_4DNFIROARX7U_5kb	5kb	GM	set1
71	100000000.0	0.01	933.0684623718262	GM_set1_bio5_tec1_4DNFIROARX7U_5kb	5kb	GM	set1
72	100000000.0	0.05	643.4513959884644	GM_set1_bio5_tec1_4DNFIROARX7U_5kb	5kb	GM	set1
73	100000000.0	0.1	506.7220106124878	GM_set1_bio5_tec1_4DNFIROARX7U_5kb	5kb	GM	set1
74	100000000.0	0.25	532.0273208618164	GM_set1_bio5_tec1_4DNFIROARX7U_5kb	5kb	GM	set1
75	5000000.0	0.0	755.5571138858795	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5kb	GM	set2
76	5000000.0	0.01	689.5455479621887	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5kb	GM	set2
77	5000000.0	0.05	578.5008187294006	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5kb	GM	set2
78	5000000.0	0.1	384.5994107723236	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5kb	GM	set2
79	5000000.0	0.25	426.15693497657776	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5kb	GM	set2
80	10000000.0	0.0	701.4856741428375	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5kb	GM	set2
81	10000000.0	0.01	674.3935098648071	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5kb	GM	set2
82	10000000.0	0.05	585.1114580631256	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5kb	GM	set2
83	10000000.0	0.1	426.1233205795288	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5kb	GM	set2
84	10000000.0	0.25	463.8452582359314	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5kb	GM	set2
85	25000000.0	0.0	685.191915512085	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5kb	GM	set2
86	25000000.0	0.01	714.5193276405334	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5kb	GM	set2
87	25000000.0	0.05	601.3831450939178	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5kb	GM	set2
88	25000000.0	0.1	555.1985456943512	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5kb	GM	set2
89	25000000.0	0.25	501.6102168560028	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5kb	GM	set2
90	50000000.0	0.0	809.8461441993713	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5kb	GM	set2
91	50000000.0	0.01	794.016420841217	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5kb	GM	set2
92	50000000.0	0.05	527.6587932109833	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5kb	GM	set2
93	50000000.0	0.1	459.6488506793976	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5kb	GM	set2
94	50000000.0	0.25	437.1569132804871	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5kb	GM	set2
95	100000000.0	0.0	683.5014054775238	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5kb	GM	set2
