CMDLINE /home/stefano/anaconda3/envs/gt/bin/python3.10 memory_benchmark.py
MEM 473.984375 1696238974.5498
MEM 474.234375 1696238974.6505
MEM 474.484375 1696238974.7512
MEM 474.609375 1696238974.8519
MEM 474.859375 1696238974.9526
MEM 475.109375 1696238975.0531
MEM 475.234375 1696238975.1538
MEM 475.484375 1696238975.2543
MEM 475.609375 1696238975.3548
MEM 475.734375 1696238975.4554
MEM 475.859375 1696238975.5558
MEM 476.109375 1696238975.6566
MEM 476.359375 1696238975.7574
MEM 476.484375 1696238975.8582
MEM 476.734375 1696238975.9589
MEM 476.984375 1696238976.0597
MEM 477.109375 1696238976.1605
MEM 477.359375 1696238976.2613
MEM 477.609375 1696238976.3622
MEM 477.734375 1696238976.4630
MEM 477.984375 1696238976.5638
MEM 478.234375 1696238976.6646
MEM 478.359375 1696238976.7654
MEM 478.609375 1696238976.8662
MEM 478.734375 1696238976.9670
MEM 478.984375 1696238977.0677
MEM 472.593750 1696238977.1684
MEM 472.593750 1696238977.2690
MEM 496.718750 1696238977.3695
MEM 496.718750 1696238977.4703
MEM 503.617188 1696238977.5711
MEM 507.617188 1696238977.6718
MEM 548.992188 1696238977.7727
MEM 573.117188 1696238977.8736
MEM 452.632812 1696238977.9744
MEM 460.257812 1696238978.0752
MEM 460.257812 1696238978.1760
MEM 467.882812 1696238978.2777
MEM 367.937500 1696238978.3784
MEM 367.937500 1696238978.4790
MEM 367.937500 1696238978.5797
MEM 367.937500 1696238978.6802
MEM 367.937500 1696238978.7810
MEM 366.937500 1696238978.8818
MEM 366.937500 1696238978.9825
MEM 366.937500 1696238979.0833
MEM 366.937500 1696238979.1841
MEM 366.937500 1696238979.2849
MEM 365.937500 1696238979.3856
MEM 367.812500 1696238979.4864
MEM 396.273438 1696238979.5872
MEM 403.882812 1696238979.6879
MEM 403.882812 1696238979.7884
MEM 403.882812 1696238979.8891
MEM 403.882812 1696238979.9898
MEM 403.882812 1696238980.0904
MEM 403.882812 1696238980.1910
MEM 403.882812 1696238980.2918
MEM 403.882812 1696238980.3923
MEM 403.882812 1696238980.4928
MEM 403.882812 1696238980.5932
MEM 403.882812 1696238980.6936
