Dataset	Cell line	Method	Interaction type	Jaccard Index
Rao	GM12878	GOTHiC	cis	0.056
Rao	GM12878	GOTHiC	cis	0.109
Rao	GM12878	GOTHiC	cis	0.000
Rao	GM12878	GOTHiC	cis	0.003
Rao	GM12878	GOTHiC	cis	0.013
Rao	GM12878	GOTHiC	cis	0.022
Rao	GM12878	GOTHiC	cis	0.021
Rao	GM12878	GOTHiC	cis	0.025
Rao	GM12878	GOTHiC	cis	0.019
Rao	GM12878	GOTHiC	cis	0.031
Rao	GM12878	GOTHiC	cis	0.030
Rao	GM12878	GOTHiC	cis	0.026
Rao	GM12878	GOTHiC	cis	0.005
Rao	GM12878	GOTHiC	cis	0.021
Rao	GM12878	GOTHiC	cis	0.006
Rao	GM12878	GOTHiC	cis	0.015
Rao	GM12878	GOTHiC	cis	0.019
Rao	GM12878	GOTHiC	cis	0.024
Rao	GM12878	GOTHiC	cis	0.027
Rao	GM12878	GOTHiC	cis	0.023
Rao	GM12878	GOTHiC	cis	0.031
Rao	GM12878	GOTHiC	cis	0.031
Rao	GM12878	GOTHiC	cis	0.027
Rao	GM12878	GOTHiC	cis	0.006
Rao	GM12878	GOTHiC	cis	0.029
Rao	GM12878	GOTHiC	cis	0.007
Rao	GM12878	GOTHiC	cis	0.112
Rao	GM12878	GOTHiC	cis	0.006
Rao	GM12878	GOTHiC	cis	0.037
Rao	GM12878	GOTHiC	cis	0.011
Rao	GM12878	GOTHiC	cis	0.013
Rao	GM12878	GOTHiC	cis	0.040
Rao	GM12878	GOTHiC	cis	0.018
Rao	GM12878	GOTHiC	cis	0.018
Rao	GM12878	GOTHiC	cis	0.012
Rao	GM12878	GOTHiC	cis	0.020
Rao	GM12878	GOTHiC	cis	0.045
Rao	GM12878	GOTHiC	cis	0.003
Rao	GM12878	GOTHiC	cis	0.050
Rao	GM12878	GOTHiC	cis	0.046
Rao	GM12878	GOTHiC	cis	0.008
Rao	GM12878	GOTHiC	cis	0.012
Rao	GM12878	GOTHiC	cis	0.013
Rao	GM12878	GOTHiC	cis	0.015
Rao	GM12878	GOTHiC	cis	0.031
Rao	GM12878	GOTHiC	cis	0.017
Rao	GM12878	GOTHiC	cis	0.018
Rao	GM12878	GOTHiC	cis	0.012
Rao	GM12878	GOTHiC	cis	0.005
Rao	GM12878	GOTHiC	cis	0.057
Rao	GM12878	GOTHiC	cis	0.003
Rao	GM12878	GOTHiC	cis	0.028
Rao	GM12878	GOTHiC	cis	0.053
Rao	GM12878	GOTHiC	cis	0.044
Rao	GM12878	GOTHiC	cis	0.001
Rao	GM12878	GOTHiC	cis	0.009
Rao	GM12878	GOTHiC	cis	0.002
Rao	GM12878	GOTHiC	cis	0.003
Rao	GM12878	GOTHiC	cis	0.032
Rao	GM12878	GOTHiC	cis	0.004
Rao	GM12878	GOTHiC	cis	0.004
Rao	GM12878	GOTHiC	cis	0.002
Rao	GM12878	GOTHiC	cis	0.009
Rao	GM12878	GOTHiC	cis	0.022
Rao	GM12878	GOTHiC	cis	0.000
Rao	GM12878	GOTHiC	cis	0.012
Rao	GM12878	GOTHiC	cis	0.021
Rao	GM12878	GOTHiC	cis	0.025
Rao	GM12878	GOTHiC	cis	0.047
Rao	IMR90	GOTHiC	cis	0.079
Rao	IMR90	GOTHiC	cis	0.004
Rao	IMR90	GOTHiC	cis	0.002
Rao	IMR90	GOTHiC	cis	0.070
Rao	IMR90	GOTHiC	cis	0.074
Rao	IMR90	GOTHiC	cis	0.004
Rao	IMR90	GOTHiC	cis	0.030
Rao	IMR90	GOTHiC	cis	0.050
Rao	IMR90	GOTHiC	cis	0.000
Rao	IMR90	GOTHiC	cis	0.030
Rao	IMR90	GOTHiC	cis	0.031
Rao	IMR90	GOTHiC	cis	0.048
Rao	IMR90	GOTHiC	cis	0.001
Rao	IMR90	GOTHiC	cis	0.034
Rao	IMR90	GOTHiC	cis	0.086
Rao	IMR90	GOTHiC	cis	0.044
Rao	IMR90	GOTHiC	cis	0.057
Rao	IMR90	GOTHiC	cis	0.002
Rao	IMR90	GOTHiC	cis	0.047
Rao	IMR90	GOTHiC	cis	0.051
Rao	IMR90	GOTHiC	cis	0.065
Rao	GM12878	GOTHiC	trans	0.123
Rao	GM12878	GOTHiC	trans	0.344
Rao	GM12878	GOTHiC	trans	0.220
Rao	GM12878	GOTHiC	trans	0.293
Rao	GM12878	GOTHiC	trans	0.314
Rao	GM12878	GOTHiC	trans	0.441
Rao	GM12878	GOTHiC	trans	0.130
Rao	GM12878	GOTHiC	trans	0.489
Rao	GM12878	GOTHiC	trans	0.270
Rao	GM12878	GOTHiC	trans	0.377
Rao	GM12878	GOTHiC	trans	0.371
Rao	GM12878	GOTHiC	trans	0.100
Rao	GM12878	GOTHiC	trans	0.191
Rao	GM12878	GOTHiC	trans	0.168
Rao	GM12878	GOTHiC	trans	0.097
Rao	GM12878	GOTHiC	trans	0.343
Rao	GM12878	GOTHiC	trans	0.098
Rao	GM12878	GOTHiC	trans	0.191
Rao	GM12878	GOTHiC	trans	0.160
Rao	GM12878	GOTHiC	trans	0.092
Rao	GM12878	GOTHiC	trans	0.435
Rao	GM12878	GOTHiC	trans	0.375
Rao	GM12878	GOTHiC	trans	0.164
Rao	GM12878	GOTHiC	trans	0.293
Rao	GM12878	GOTHiC	trans	0.281
Rao	GM12878	GOTHiC	trans	0.178
Rao	GM12878	GOTHiC	trans	0.367
Rao	GM12878	GOTHiC	trans	0.362
Rao	GM12878	GOTHiC	trans	0.068
Rao	GM12878	GOTHiC	trans	0.408
Rao	GM12878	GOTHiC	trans	0.132
Rao	GM12878	GOTHiC	trans	0.195
Rao	GM12878	GOTHiC	trans	0.438
Rao	GM12878	GOTHiC	trans	0.056
Rao	GM12878	GOTHiC	trans	0.051
Rao	GM12878	GOTHiC	trans	0.096
Rao	GM12878	GOTHiC	trans	0.222
Rao	GM12878	GOTHiC	trans	0.331
Rao	GM12878	GOTHiC	trans	0.326
Rao	GM12878	GOTHiC	trans	0.418
Rao	GM12878	GOTHiC	trans	0.474
Rao	GM12878	GOTHiC	trans	0.161
Rao	GM12878	GOTHiC	trans	0.160
Rao	GM12878	GOTHiC	trans	0.256
Rao	GM12878	GOTHiC	trans	0.277
Rao	GM12878	GOTHiC	trans	0.384
Rao	GM12878	GOTHiC	trans	0.094
Rao	GM12878	GOTHiC	trans	0.221
Rao	GM12878	GOTHiC	trans	0.182
Rao	GM12878	GOTHiC	trans	0.090
Rao	GM12878	GOTHiC	trans	0.425
Rao	GM12878	GOTHiC	trans	0.430
Rao	GM12878	GOTHiC	trans	0.355
Rao	GM12878	GOTHiC	trans	0.047
Rao	GM12878	GOTHiC	trans	0.156
Rao	GM12878	GOTHiC	trans	0.047
Rao	GM12878	GOTHiC	trans	0.231
Rao	GM12878	GOTHiC	trans	0.089
Rao	GM12878	GOTHiC	trans	0.139
Rao	GM12878	GOTHiC	trans	0.237
Rao	GM12878	GOTHiC	trans	0.034
Rao	GM12878	GOTHiC	trans	0.031
Rao	GM12878	GOTHiC	trans	0.061
Rao	GM12878	GOTHiC	trans	0.245
Rao	GM12878	GOTHiC	trans	0.131
Rao	GM12878	GOTHiC	trans	0.032
Rao	GM12878	GOTHiC	trans	0.050
Rao	GM12878	GOTHiC	trans	0.241
Rao	GM12878	GOTHiC	trans	0.103
Rao	GM12878	GOTHiC	trans	0.153
Rao	GM12878	GOTHiC	trans	0.278
Rao	GM12878	GOTHiC	trans	0.037
Rao	GM12878	GOTHiC	trans	0.035
Rao	GM12878	GOTHiC	trans	0.068
Rao	GM12878	GOTHiC	trans	0.259
Rao	GM12878	GOTHiC	trans	0.157
Rao	GM12878	GOTHiC	trans	0.036
Rao	GM12878	GOTHiC	trans	0.500
Rao	GM12878	GOTHiC	trans	0.090
Rao	GM12878	GOTHiC	trans	0.446
Rao	GM12878	GOTHiC	trans	0.187
Rao	GM12878	GOTHiC	trans	0.256
Rao	GM12878	GOTHiC	trans	0.475
Rao	GM12878	GOTHiC	trans	0.065
Rao	GM12878	GOTHiC	trans	0.059
Rao	GM12878	GOTHiC	trans	0.116
Rao	GM12878	GOTHiC	trans	0.417
Rao	GM12878	GOTHiC	trans	0.252
Rao	GM12878	GOTHiC	trans	0.060
Rao	GM12878	GOTHiC	trans	0.298
Rao	GM12878	GOTHiC	trans	0.266
Rao	GM12878	GOTHiC	trans	0.021
Rao	GM12878	GOTHiC	trans	0.077
Rao	GM12878	GOTHiC	trans	0.043
Rao	GM12878	GOTHiC	trans	0.057
Rao	GM12878	GOTHiC	trans	0.139
Rao	GM12878	GOTHiC	trans	0.016
Rao	GM12878	GOTHiC	trans	0.016
Rao	GM12878	GOTHiC	trans	0.029
Rao	GM12878	GOTHiC	trans	0.089
Rao	GM12878	GOTHiC	trans	0.067
Rao	GM12878	GOTHiC	trans	0.015
Rao	GM12878	GOTHiC	trans	0.226
Rao	GM12878	GOTHiC	trans	0.286
Rao	GM12878	GOTHiC	trans	0.107
Rao	GM12878	GOTHiC	trans	0.017
Rao	GM12878	GOTHiC	trans	0.066
Rao	GM12878	GOTHiC	trans	0.035
Rao	GM12878	GOTHiC	trans	0.046
Rao	GM12878	GOTHiC	trans	0.113
Rao	GM12878	GOTHiC	trans	0.012
Rao	GM12878	GOTHiC	trans	0.013
Rao	GM12878	GOTHiC	trans	0.024
Rao	GM12878	GOTHiC	trans	0.070
Rao	GM12878	GOTHiC	trans	0.053
Rao	GM12878	GOTHiC	trans	0.012
Rao	GM12878	GOTHiC	trans	0.250
Rao	GM12878	GOTHiC	trans	0.273
Rao	GM12878	GOTHiC	trans	0.093
Rao	GM12878	GOTHiC	trans	0.769
Rao	IMR90	GOTHiC	trans	0.700
Rao	IMR90	GOTHiC	trans	0.432
Rao	IMR90	GOTHiC	trans	0.328
Rao	IMR90	GOTHiC	trans	0.731
Rao	IMR90	GOTHiC	trans	0.677
Rao	IMR90	GOTHiC	trans	0.413
Rao	IMR90	GOTHiC	trans	0.471
Rao	IMR90	GOTHiC	trans	0.544
Rao	IMR90	GOTHiC	trans	0.235
Rao	IMR90	GOTHiC	trans	0.512
Rao	IMR90	GOTHiC	trans	0.492
Rao	IMR90	GOTHiC	trans	0.457
Rao	IMR90	GOTHiC	trans	0.260
Rao	IMR90	GOTHiC	trans	0.429
Rao	IMR90	GOTHiC	trans	0.344
Rao	IMR90	GOTHiC	trans	0.450
Rao	IMR90	GOTHiC	trans	0.347
Rao	IMR90	GOTHiC	trans	0.265
Rao	IMR90	GOTHiC	trans	0.391
Rao	IMR90	GOTHiC	trans	0.278
Rao	IMR90	GOTHiC	trans	0.554
Dixon 2012	H1-hESC	HiCCUPS	cis	0.012
Dixon 2012	IMR90	HiCCUPS	cis	0.168
Dixon 2012	H1-hESC	HiCCUPS	trans	NA
Dixon 2012	IMR90	HiCCUPS	trans	NA
Dixon 2015	H1-hESC	HiCCUPS	cis	0.064
Dixon 2015	H1-hESC	HiCCUPS	trans	NA
Jin	IMR90	HiCCUPS	cis	0.000
Jin	IMR90	HiCCUPS	cis	0.000
Jin	IMR90	HiCCUPS	cis	0.096
Jin	IMR90	HiCCUPS	cis	0.030
Jin	IMR90	HiCCUPS	cis	0.125
Jin	IMR90	HiCCUPS	cis	0.175
Jin	IMR90	HiCCUPS	cis	0.000
Jin	IMR90	HiCCUPS	cis	0.015
Jin	IMR90	HiCCUPS	cis	0.095
Jin	IMR90	HiCCUPS	cis	0.091
Jin	IMR90	HiCCUPS	trans	NA
Lieberman-Aiden	GM06990	HiCCUPS	cis	0.045
Lieberman-Aiden	GM06990	HiCCUPS	cis	0.056
Lieberman-Aiden	GM06990	HiCCUPS	cis	0.083
Lieberman-Aiden	GM06990	HiCCUPS	cis	0.101
Lieberman-Aiden	GM06990	HiCCUPS	cis	0.083
Lieberman-Aiden	GM06990	HiCCUPS	cis	0.081
Lieberman-Aiden	GM06990	HiCCUPS	trans	NA
Rao	GM12878	HiCCUPS	cis	0.007
Rao	GM12878	HiCCUPS	cis	0.115
Rao	GM12878	HiCCUPS	cis	0.012
Rao	GM12878	HiCCUPS	cis	0.103
Rao	GM12878	HiCCUPS	cis	0.010
Rao	GM12878	HiCCUPS	cis	0.125
Rao	GM12878	HiCCUPS	cis	0.009
Rao	GM12878	HiCCUPS	cis	0.182
Rao	GM12878	HiCCUPS	cis	0.016
Rao	GM12878	HiCCUPS	cis	0.010
Rao	GM12878	HiCCUPS	cis	0.025
Rao	GM12878	HiCCUPS	cis	0.125
Rao	GM12878	HiCCUPS	cis	0.051
Rao	GM12878	HiCCUPS	cis	0.056
Rao	GM12878	HiCCUPS	cis	0.152
Rao	GM12878	HiCCUPS	cis	0.022
Rao	GM12878	HiCCUPS	cis	0.093
Rao	GM12878	HiCCUPS	cis	0.040
Rao	GM12878	HiCCUPS	cis	0.048
Rao	GM12878	HiCCUPS	cis	0.058
Rao	GM12878	HiCCUPS	cis	0.175
Rao	GM12878	HiCCUPS	cis	0.066
Rao	GM12878	HiCCUPS	cis	0.029
Rao	GM12878	HiCCUPS	cis	0.084
Rao	GM12878	HiCCUPS	cis	0.096
Rao	GM12878	HiCCUPS	cis	0.016
Rao	GM12878	HiCCUPS	cis	0.071
Rao	GM12878	HiCCUPS	cis	0.079
Rao	GM12878	HiCCUPS	cis	0.003
Rao	GM12878	HiCCUPS	cis	0.182
Rao	GM12878	HiCCUPS	cis	0.004
Rao	GM12878	HiCCUPS	cis	0.003
Rao	GM12878	HiCCUPS	cis	0.167
Rao	GM12878	HiCCUPS	cis	0.053
Rao	GM12878	HiCCUPS	cis	0.050
Rao	GM12878	HiCCUPS	cis	0.008
Rao	GM12878	HiCCUPS	cis	0.011
Rao	GM12878	HiCCUPS	cis	0.188
Rao	GM12878	HiCCUPS	cis	0.020
Rao	GM12878	HiCCUPS	cis	0.021
Rao	GM12878	HiCCUPS	cis	0.125
Rao	GM12878	HiCCUPS	cis	0.243
Rao	GM12878	HiCCUPS	cis	0.143
Rao	GM12878	HiCCUPS	cis	0.034
Rao	GM12878	HiCCUPS	cis	0.167
Rao	GM12878	HiCCUPS	cis	0.108
Rao	GM12878	HiCCUPS	cis	0.004
Rao	GM12878	HiCCUPS	cis	0.100
Rao	GM12878	HiCCUPS	cis	0.091
Rao	GM12878	HiCCUPS	cis	0.006
Rao	GM12878	HiCCUPS	cis	0.016
Rao	GM12878	HiCCUPS	cis	0.014
Rao	GM12878	HiCCUPS	cis	0.064
Rao	GM12878	HiCCUPS	cis	0.001
Rao	GM12878	HiCCUPS	cis	0.006
Rao	GM12878	HiCCUPS	cis	0.046
Rao	GM12878	HiCCUPS	cis	0.007
Rao	GM12878	HiCCUPS	cis	0.055
Rao	GM12878	HiCCUPS	cis	0.055
Rao	GM12878	HiCCUPS	cis	0.020
Rao	GM12878	HiCCUPS	cis	0.036
Rao	GM12878	HiCCUPS	cis	0.036
Rao	GM12878	HiCCUPS	cis	0.069
Rao	GM12878	HiCCUPS	cis	0.000
Rao	GM12878	HiCCUPS	cis	0.007
Rao	GM12878	HiCCUPS	cis	0.039
Rao	GM12878	HiCCUPS	cis	0.054
Rao	GM12878	HiCCUPS	cis	0.005
Rao	GM12878	HiCCUPS	cis	0.050
Rao	GM12878	HiCCUPS	cis	0.053
Rao	GM12878	HiCCUPS	cis	0.022
Rao	GM12878	HiCCUPS	cis	0.020
Rao	GM12878	HiCCUPS	cis	0.012
Rao	GM12878	HiCCUPS	cis	0.054
Rao	GM12878	HiCCUPS	cis	0.009
Rao	GM12878	HiCCUPS	cis	0.005
Rao	GM12878	HiCCUPS	cis	0.044
Rao	GM12878	HiCCUPS	cis	0.097
Rao	GM12878	HiCCUPS	cis	0.012
Rao	GM12878	HiCCUPS	cis	0.080
Rao	GM12878	HiCCUPS	cis	0.018
Rao	GM12878	HiCCUPS	cis	0.023
Rao	GM12878	HiCCUPS	cis	0.129
Rao	GM12878	HiCCUPS	cis	0.102
Rao	GM12878	HiCCUPS	cis	0.098
Rao	GM12878	HiCCUPS	cis	0.037
Rao	GM12878	HiCCUPS	cis	0.158
Rao	GM12878	HiCCUPS	cis	0.120
Rao	GM12878	HiCCUPS	cis	0.007
Rao	GM12878	HiCCUPS	cis	0.041
Rao	GM12878	HiCCUPS	cis	0.041
Rao	GM12878	HiCCUPS	cis	0.030
Rao	GM12878	HiCCUPS	cis	0.056
Rao	GM12878	HiCCUPS	cis	0.033
Rao	GM12878	HiCCUPS	cis	0.032
Rao	GM12878	HiCCUPS	cis	0.037
Rao	GM12878	HiCCUPS	cis	0.062
Rao	GM12878	HiCCUPS	cis	0.050
Rao	GM12878	HiCCUPS	cis	0.063
Rao	GM12878	HiCCUPS	cis	0.029
Rao	GM12878	HiCCUPS	cis	0.027
Rao	GM12878	HiCCUPS	cis	0.019
Rao	GM12878	HiCCUPS	cis	0.036
Rao	GM12878	HiCCUPS	cis	0.037
Rao	GM12878	HiCCUPS	cis	0.063
Rao	GM12878	HiCCUPS	cis	0.017
Rao	GM12878	HiCCUPS	cis	0.039
Rao	GM12878	HiCCUPS	cis	0.017
Rao	GM12878	HiCCUPS	cis	0.032
Rao	GM12878	HiCCUPS	cis	0.052
Rao	GM12878	HiCCUPS	cis	0.026
Rao	GM12878	HiCCUPS	cis	0.038
Rao	GM12878	HiCCUPS	cis	0.026
Rao	GM12878	HiCCUPS	cis	0.043
Rao	GM12878	HiCCUPS	cis	0.019
Rao	GM12878	HiCCUPS	cis	0.009
Rao	GM12878	HiCCUPS	cis	0.029
Rao	GM12878	HiCCUPS	cis	0.036
Rao	GM12878	HiCCUPS	cis	0.069
Rao	GM12878	HiCCUPS	cis	0.047
Rao	IMR90	HiCCUPS	cis	0.132
Rao	IMR90	HiCCUPS	cis	0.037
Rao	IMR90	HiCCUPS	cis	0.031
Rao	IMR90	HiCCUPS	cis	0.111
Rao	IMR90	HiCCUPS	cis	0.119
Rao	IMR90	HiCCUPS	cis	0.054
Rao	IMR90	HiCCUPS	cis	0.036
Rao	IMR90	HiCCUPS	cis	0.042
Rao	IMR90	HiCCUPS	cis	0.068
Rao	IMR90	HiCCUPS	cis	0.053
Rao	IMR90	HiCCUPS	cis	0.069
Rao	IMR90	HiCCUPS	cis	0.072
Rao	IMR90	HiCCUPS	cis	0.056
Rao	IMR90	HiCCUPS	cis	0.084
Rao	IMR90	HiCCUPS	cis	0.066
Rao	IMR90	HiCCUPS	trans	NA
Rao	GM12878	HiCCUPS	trans	NA
Dixon 2012	H1-hESC	HIPPIE	cis	0.009
Dixon 2012	IMR90	HIPPIE	cis	0.017
Dixon 2012	H1-hESC	HIPPIE	trans	0.016
Dixon 2012	IMR90	HIPPIE	trans	0.024
Dixon 2015	H1-hESC	HIPPIE	cis	0.070
Dixon 2015	H1-hESC	HIPPIE	trans	0.024
Jin	IMR90	HIPPIE	cis	0.022
Jin	IMR90	HIPPIE	cis	0.009
Jin	IMR90	HIPPIE	cis	0.014
Jin	IMR90	HIPPIE	cis	0.007
Jin	IMR90	HIPPIE	cis	0.008
Jin	IMR90	HIPPIE	cis	0.014
Jin	IMR90	HIPPIE	cis	0.002
Jin	IMR90	HIPPIE	cis	0.003
Jin	IMR90	HIPPIE	cis	0.010
Jin	IMR90	HIPPIE	cis	0.008
Jin	IMR90	HIPPIE	cis	0.002
Jin	IMR90	HIPPIE	cis	0.003
Jin	IMR90	HIPPIE	cis	0.012
Jin	IMR90	HIPPIE	cis	0.008
Jin	IMR90	HIPPIE	cis	0.065
Jin	IMR90	HIPPIE	trans	0.020
Jin	IMR90	HIPPIE	trans	0.009
Jin	IMR90	HIPPIE	trans	0.012
Jin	IMR90	HIPPIE	trans	0.006
Jin	IMR90	HIPPIE	trans	0.009
Jin	IMR90	HIPPIE	trans	0.019
Jin	IMR90	HIPPIE	trans	0.020
Jin	IMR90	HIPPIE	trans	0.024
Jin	IMR90	HIPPIE	trans	0.026
Jin	IMR90	HIPPIE	trans	0.020
Jin	IMR90	HIPPIE	trans	0.017
Jin	IMR90	HIPPIE	trans	0.021
Jin	IMR90	HIPPIE	trans	0.023
Jin	IMR90	HIPPIE	trans	0.015
Jin	IMR90	HIPPIE	trans	0.391
Lieberman-Aiden	GM06990	HIPPIE	cis	NA
Lieberman-Aiden	GM06990	HIPPIE	trans	0.000
Lieberman-Aiden	GM06990	HIPPIE	trans	0.000
Lieberman-Aiden	GM06990	HIPPIE	trans	0.000
Rao	GM12878	HIPPIE	cis	0.031
Rao	GM12878	HIPPIE	cis	0.061
Rao	GM12878	HIPPIE	cis	0.029
Rao	GM12878	HIPPIE	cis	0.062
Rao	GM12878	HIPPIE	cis	0.043
Rao	GM12878	HIPPIE	cis	0.060
Rao	GM12878	HIPPIE	cis	0.020
Rao	GM12878	HIPPIE	cis	0.099
Rao	GM12878	HIPPIE	cis	0.022
Rao	GM12878	HIPPIE	cis	0.030
Rao	GM12878	HIPPIE	cis	0.051
Rao	GM12878	HIPPIE	cis	0.073
Rao	GM12878	HIPPIE	cis	0.047
Rao	GM12878	HIPPIE	cis	0.061
Rao	GM12878	HIPPIE	cis	0.057
Rao	GM12878	HIPPIE	cis	0.049
Rao	GM12878	HIPPIE	cis	0.072
Rao	GM12878	HIPPIE	cis	0.046
Rao	GM12878	HIPPIE	cis	0.057
Rao	GM12878	HIPPIE	cis	0.061
Rao	GM12878	HIPPIE	cis	0.087
Rao	GM12878	HIPPIE	cis	0.053
Rao	GM12878	HIPPIE	cis	0.054
Rao	GM12878	HIPPIE	cis	0.046
Rao	GM12878	HIPPIE	cis	0.058
Rao	GM12878	HIPPIE	cis	0.040
Rao	GM12878	HIPPIE	cis	0.077
Rao	GM12878	HIPPIE	cis	0.072
Rao	GM12878	HIPPIE	cis	0.007
Rao	GM12878	HIPPIE	cis	0.052
Rao	GM12878	HIPPIE	cis	0.008
Rao	GM12878	HIPPIE	cis	0.012
Rao	GM12878	HIPPIE	cis	0.107
Rao	GM12878	HIPPIE	cis	0.024
Rao	GM12878	HIPPIE	cis	0.025
Rao	GM12878	HIPPIE	cis	0.015
Rao	GM12878	HIPPIE	cis	0.028
Rao	GM12878	HIPPIE	cis	0.098
Rao	GM12878	HIPPIE	cis	0.030
Rao	GM12878	HIPPIE	cis	0.041
Rao	GM12878	HIPPIE	cis	0.123
Rao	GM12878	HIPPIE	cis	0.069
Rao	GM12878	HIPPIE	cis	0.073
Rao	GM12878	HIPPIE	cis	0.047
Rao	GM12878	HIPPIE	cis	0.066
Rao	GM12878	HIPPIE	cis	0.051
Rao	GM12878	HIPPIE	cis	0.016
Rao	GM12878	HIPPIE	cis	0.046
Rao	GM12878	HIPPIE	cis	0.043
Rao	GM12878	HIPPIE	cis	0.011
Rao	GM12878	HIPPIE	cis	0.032
Rao	GM12878	HIPPIE	cis	0.028
Rao	GM12878	HIPPIE	cis	0.034
Rao	GM12878	HIPPIE	cis	0.004
Rao	GM12878	HIPPIE	cis	0.014
Rao	GM12878	HIPPIE	cis	0.016
Rao	GM12878	HIPPIE	cis	0.050
Rao	GM12878	HIPPIE	cis	0.017
Rao	GM12878	HIPPIE	cis	0.022
Rao	GM12878	HIPPIE	cis	0.056
Rao	GM12878	HIPPIE	cis	0.033
Rao	GM12878	HIPPIE	cis	0.034
Rao	GM12878	HIPPIE	cis	0.028
Rao	GM12878	HIPPIE	cis	0.038
Rao	GM12878	HIPPIE	cis	0.043
Rao	GM12878	HIPPIE	cis	0.011
Rao	GM12878	HIPPIE	cis	0.019
Rao	GM12878	HIPPIE	cis	0.048
Rao	GM12878	HIPPIE	cis	0.019
Rao	GM12878	HIPPIE	cis	0.023
Rao	GM12878	HIPPIE	cis	0.055
Rao	GM12878	HIPPIE	cis	0.031
Rao	GM12878	HIPPIE	cis	0.032
Rao	GM12878	HIPPIE	cis	0.025
Rao	GM12878	HIPPIE	cis	0.026
Rao	GM12878	HIPPIE	cis	0.044
Rao	GM12878	HIPPIE	cis	0.013
Rao	GM12878	HIPPIE	cis	0.046
Rao	GM12878	HIPPIE	cis	0.029
Rao	GM12878	HIPPIE	cis	0.081
Rao	GM12878	HIPPIE	cis	0.032
Rao	GM12878	HIPPIE	cis	0.043
Rao	GM12878	HIPPIE	cis	0.088
Rao	GM12878	HIPPIE	cis	0.062
Rao	GM12878	HIPPIE	cis	0.062
Rao	GM12878	HIPPIE	cis	0.049
Rao	GM12878	HIPPIE	cis	0.040
Rao	GM12878	HIPPIE	cis	0.084
Rao	GM12878	HIPPIE	cis	0.017
Rao	GM12878	HIPPIE	cis	0.048
Rao	GM12878	HIPPIE	cis	0.050
Rao	GM12878	HIPPIE	cis	0.011
Rao	GM12878	HIPPIE	cis	0.046
Rao	GM12878	HIPPIE	cis	0.013
Rao	GM12878	HIPPIE	cis	0.017
Rao	GM12878	HIPPIE	cis	0.061
Rao	GM12878	HIPPIE	cis	0.025
Rao	GM12878	HIPPIE	cis	0.027
Rao	GM12878	HIPPIE	cis	0.018
Rao	GM12878	HIPPIE	cis	0.059
Rao	GM12878	HIPPIE	cis	0.061
Rao	GM12878	HIPPIE	cis	0.006
Rao	GM12878	HIPPIE	cis	0.036
Rao	GM12878	HIPPIE	cis	0.032
Rao	GM12878	HIPPIE	cis	0.039
Rao	GM12878	HIPPIE	cis	0.006
Rao	GM12878	HIPPIE	cis	0.036
Rao	GM12878	HIPPIE	cis	0.007
Rao	GM12878	HIPPIE	cis	0.010
Rao	GM12878	HIPPIE	cis	0.070
Rao	GM12878	HIPPIE	cis	0.017
Rao	GM12878	HIPPIE	cis	0.016
Rao	GM12878	HIPPIE	cis	0.013
Rao	GM12878	HIPPIE	cis	0.084
Rao	GM12878	HIPPIE	cis	0.053
Rao	GM12878	HIPPIE	cis	0.004
Rao	GM12878	HIPPIE	cis	0.024
Rao	GM12878	HIPPIE	cis	0.022
Rao	GM12878	HIPPIE	cis	0.035
Rao	GM12878	HIPPIE	cis	0.063
Rao	IMR90	HIPPIE	cis	0.034
Rao	IMR90	HIPPIE	cis	0.005
Rao	IMR90	HIPPIE	cis	0.005
Rao	IMR90	HIPPIE	cis	0.016
Rao	IMR90	HIPPIE	cis	0.022
Rao	IMR90	HIPPIE	cis	0.043
Rao	IMR90	HIPPIE	cis	0.030
Rao	IMR90	HIPPIE	cis	0.035
Rao	IMR90	HIPPIE	cis	0.009
Rao	IMR90	HIPPIE	cis	0.030
Rao	IMR90	HIPPIE	cis	0.021
Rao	IMR90	HIPPIE	cis	0.021
Rao	IMR90	HIPPIE	cis	0.007
Rao	IMR90	HIPPIE	cis	0.020
Rao	IMR90	HIPPIE	cis	0.024
Rao	IMR90	HIPPIE	cis	0.025
Rao	IMR90	HIPPIE	cis	0.025
Rao	IMR90	HIPPIE	cis	0.006
Rao	IMR90	HIPPIE	cis	0.021
Rao	IMR90	HIPPIE	cis	0.027
Rao	IMR90	HIPPIE	cis	0.032
Rao	GM12878	HIPPIE	trans	0.171
Rao	GM12878	HIPPIE	trans	0.266
Rao	GM12878	HIPPIE	trans	0.186
Rao	GM12878	HIPPIE	trans	0.253
Rao	GM12878	HIPPIE	trans	0.217
Rao	GM12878	HIPPIE	trans	0.297
Rao	GM12878	HIPPIE	trans	0.152
Rao	GM12878	HIPPIE	trans	0.250
Rao	GM12878	HIPPIE	trans	0.176
Rao	GM12878	HIPPIE	trans	0.216
Rao	GM12878	HIPPIE	trans	0.219
Rao	GM12878	HIPPIE	trans	0.184
Rao	GM12878	HIPPIE	trans	0.205
Rao	GM12878	HIPPIE	trans	0.222
Rao	GM12878	HIPPIE	trans	0.164
Rao	GM12878	HIPPIE	trans	0.229
Rao	GM12878	HIPPIE	trans	0.204
Rao	GM12878	HIPPIE	trans	0.221
Rao	GM12878	HIPPIE	trans	0.232
Rao	GM12878	HIPPIE	trans	0.187
Rao	GM12878	HIPPIE	trans	0.258
