Dataset	Cell line	Method	Interaction type	Jaccard Index
Rao	GM12878	diffHic	trans	0.193
Rao	GM12878	diffHic	trans	0.259
Rao	GM12878	diffHic	trans	0.222
Rao	GM12878	diffHic	trans	0.153
Rao	GM12878	diffHic	trans	0.155
Rao	GM12878	diffHic	trans	0.279
Rao	GM12878	diffHic	trans	0.211
Rao	GM12878	diffHic	trans	0.227
Rao	GM12878	diffHic	trans	0.318
Rao	GM12878	diffHic	trans	0.152
Rao	GM12878	diffHic	trans	0.150
Rao	GM12878	diffHic	trans	0.178
Rao	GM12878	diffHic	trans	0.255
Rao	GM12878	diffHic	trans	0.230
Rao	GM12878	diffHic	trans	0.137
Rao	GM12878	diffHic	trans	0.476
Rao	GM12878	diffHic	trans	0.209
Rao	GM12878	diffHic	trans	0.388
Rao	GM12878	diffHic	trans	0.271
Rao	GM12878	diffHic	trans	0.306
Rao	GM12878	diffHic	trans	0.434
Rao	GM12878	diffHic	trans	0.217
Rao	GM12878	diffHic	trans	0.218
Rao	GM12878	diffHic	trans	0.248
Rao	GM12878	diffHic	trans	0.321
Rao	GM12878	diffHic	trans	0.314
Rao	GM12878	diffHic	trans	0.185
Rao	GM12878	diffHic	trans	0.390
Rao	GM12878	diffHic	trans	0.355
Rao	GM12878	diffHic	trans	0.151
Rao	GM12878	diffHic	trans	0.302
Rao	GM12878	diffHic	trans	0.205
Rao	GM12878	diffHic	trans	0.221
Rao	GM12878	diffHic	trans	0.370
Rao	GM12878	diffHic	trans	0.159
Rao	GM12878	diffHic	trans	0.162
Rao	GM12878	diffHic	trans	0.186
Rao	GM12878	diffHic	trans	0.359
Rao	GM12878	diffHic	trans	0.298
Rao	GM12878	diffHic	trans	0.135
Rao	GM12878	diffHic	trans	0.363
Rao	GM12878	diffHic	trans	0.384
Rao	GM12878	diffHic	trans	0.377
Rao	GM12878	diffHic	trans	0.119
Rao	GM12878	diffHic	trans	0.289
Rao	GM12878	diffHic	trans	0.162
Rao	GM12878	diffHic	trans	0.185
Rao	GM12878	diffHic	trans	0.354
Rao	GM12878	diffHic	trans	0.129
Rao	GM12878	diffHic	trans	0.130
Rao	GM12878	diffHic	trans	0.151
Rao	GM12878	diffHic	trans	0.385
Rao	GM12878	diffHic	trans	0.266
Rao	GM12878	diffHic	trans	0.105
Rao	GM12878	diffHic	trans	0.349
Rao	GM12878	diffHic	trans	0.354
Rao	GM12878	diffHic	trans	0.338
Rao	GM12878	diffHic	trans	0.513
Rao	IMR90	diffHic	trans	0.456
Rao	IMR90	diffHic	trans	0.098
Rao	IMR90	diffHic	trans	0.087
Rao	IMR90	diffHic	trans	0.301
Rao	IMR90	diffHic	trans	0.275
Rao	IMR90	diffHic	trans	0.244
Rao	IMR90	diffHic	trans	0.376
Rao	IMR90	diffHic	trans	0.364
Rao	IMR90	diffHic	trans	0.127
Rao	IMR90	diffHic	trans	0.372
Rao	IMR90	diffHic	trans	0.333
Rao	IMR90	diffHic	trans	0.326
Rao	IMR90	diffHic	trans	0.125
Rao	IMR90	diffHic	trans	0.314
