	exp1	exp2	replicate_type	size1	size2	jaccard_index	Method	dist_thr	count_thr
77	GM_set1_bio1	GM_set1_bio5	bio	1918492	1642127	0.090498053523733	HiCONA	50000000.0	1
78	GM_set1_bio1	GM_set1_bio5	bio	1091391	601240	0.2209041565233072	HiCONA	50000000.0	5
79	GM_set1_bio1	GM_set1_bio5	bio	664366	253038	0.2538751187376564	HiCONA	50000000.0	10
80	GM_set1_bio1	GM_set1_bio5	bio	4282112	3532489	0.0858996752556476	HiCONA	10000000.0	0
81	GM_set1_bio1	GM_set1_bio5	bio	1906114	1666466	0.0893330686671527	HiCONA	10000000.0	1
82	GM_set1_bio1	GM_set1_bio5	bio	1090957	613475	0.2219131571853797	HiCONA	10000000.0	5
83	GM_set1_bio1	GM_set1_bio5	bio	664231	257691	0.2570640843313203	HiCONA	10000000.0	10
84	GM_set1_bio1	GM_set1_bio5	bio	5703822	4119474	0.1018659705629049	HiCONA	100000000.0	0
85	GM_set1_bio1	GM_set1_bio5	bio	1919875	1675277	0.0905857760259035	HiCONA	100000000.0	1
86	GM_set1_bio1	GM_set1_bio5	bio	1091403	613728	0.221908826090228	HiCONA	100000000.0	5
87	GM_set1_bio1	GM_set1_bio5	bio	664366	257777	0.2570706072399855	HiCONA	100000000.0	10
88	GM_set1_bio1	GM_set1_bio5	bio	3757471	3282977	0.0778992957049977	HiCONA	5000000.0	0
89	GM_set1_bio1	GM_set1_bio5	bio	1899271	1661840	0.0886791899085244	HiCONA	5000000.0	1
90	GM_set1_bio1	GM_set1_bio5	bio	1090932	613461	0.2219176098378966	HiCONA	5000000.0	5
91	GM_set1_bio1	GM_set1_bio5	bio	664219	257683	0.2570642384476197	HiCONA	5000000.0	10
92	GM_set1_bio1	GM_set1_bio5	bio	5491583	4029316	0.0994069075033441	HiCONA	50000000.0	0
93	GM_set1_bio1	GM_set1_bio5	bio	1918492	1674303	0.0904668696776762	HiCONA	50000000.0	1
94	GM_set1_bio1	GM_set1_bio5	bio	1091391	613727	0.2219091421143226	HiCONA	50000000.0	5
95	GM_set1_bio1	GM_set1_bio5	bio	664366	257774	0.2570665176228419	HiCONA	50000000.0	10
96	GM_set1_bio1	GM_set1_bio6	bio	4282112	3487436	0.0938746915467006	HiCONA	10000000.0	0
97	GM_set1_bio1	GM_set1_bio6	bio	1906114	1731462	0.1011088956539875	HiCONA	10000000.0	1
98	GM_set1_bio1	GM_set1_bio6	bio	1090957	689295	0.2491891944992934	HiCONA	10000000.0	5
99	GM_set1_bio1	GM_set1_bio6	bio	664231	351571	0.3220580751715691	HiCONA	10000000.0	10
100	GM_set1_bio1	GM_set1_bio6	bio	5703822	3823310	0.1132931577999612	HiCONA	100000000.0	0
101	GM_set1_bio1	GM_set1_bio6	bio	1919875	1756643	0.1024927940236276	HiCONA	100000000.0	1
102	GM_set1_bio1	GM_set1_bio6	bio	1091403	689452	0.2491609037618867	HiCONA	100000000.0	5
103	GM_set1_bio1	GM_set1_bio6	bio	664366	351621	0.3220373168024504	HiCONA	100000000.0	10
104	GM_set1_bio1	GM_set1_bio6	bio	3757471	3119848	0.0845669045969184	HiCONA	5000000.0	0
105	GM_set1_bio1	GM_set1_bio6	bio	1899271	1727814	0.1004338526417985	HiCONA	5000000.0	1
106	GM_set1_bio1	GM_set1_bio6	bio	1090932	689283	0.2491904048502029	HiCONA	5000000.0	5
107	GM_set1_bio1	GM_set1_bio6	bio	664219	351567	0.3220613404309318	HiCONA	5000000.0	10
108	GM_set1_bio1	GM_set1_bio6	bio	5491583	3792418	0.1104318627408766	HiCONA	50000000.0	0
109	GM_set1_bio1	GM_set1_bio6	bio	1918492	1755883	0.1023615550892014	HiCONA	50000000.0	1
110	GM_set1_bio1	GM_set1_bio6	bio	1091391	689449	0.249161772916918	HiCONA	50000000.0	5
111	GM_set1_bio1	GM_set1_bio6	bio	664366	351619	0.3220381548967533	HiCONA	50000000.0	10
112	GM_set1_bio1	GM_set1_bio7	bio	4282112	2366845	0.0481843151579089	HiCONA	10000000.0	0
113	GM_set1_bio1	GM_set1_bio7	bio	1906114	735246	0.0498034221868228	HiCONA	10000000.0	1
114	GM_set1_bio1	GM_set1_bio7	bio	1090957	60070	0.0382576803107303	HiCONA	10000000.0	5
115	GM_set1_bio1	GM_set1_bio7	bio	664231	2438	0.00340453968727	HiCONA	10000000.0	10
116	GM_set1_bio1	GM_set1_bio7	bio	5703822	2569328	0.0638880655218686	HiCONA	100000000.0	0
117	GM_set1_bio1	GM_set1_bio7	bio	1919875	736182	0.0503359539760254	HiCONA	100000000.0	1
118	GM_set1_bio1	GM_set1_bio7	bio	1091403	60089	0.0382538099626171	HiCONA	100000000.0	5
119	GM_set1_bio1	GM_set1_bio7	bio	664366	2447	0.0034173912258367	HiCONA	100000000.0	10
120	GM_set1_bio1	GM_set1_bio7	bio	3757471	2256484	0.0422015051207586	HiCONA	5000000.0	0
121	GM_set1_bio1	GM_set1_bio7	bio	1899271	734733	0.0495009897329155	HiCONA	5000000.0	1
122	GM_set1_bio1	GM_set1_bio7	bio	1090932	60070	0.0382585430669075	HiCONA	5000000.0	5
123	GM_set1_bio1	GM_set1_bio7	bio	664219	2438	0.0034046011785157	HiCONA	5000000.0	10
124	GM_set1_bio1	GM_set1_bio7	bio	5491583	2525601	0.0608530905023077	HiCONA	50000000.0	0
125	GM_set1_bio1	GM_set1_bio7	bio	1918492	736085	0.0502777448071216	HiCONA	50000000.0	1
126	GM_set1_bio1	GM_set1_bio7	bio	1091391	60089	0.038254223870073	HiCONA	50000000.0	5
127	GM_set1_bio1	GM_set1_bio7	bio	664366	2447	0.0034173912258367	HiCONA	50000000.0	10
128	GM_set1_bio1	GM_set1_bio7	bio	4282112	2698360	0.0605631787031435	HiCONA	10000000.0	0
129	GM_set1_bio1	GM_set1_bio7	bio	1906114	1129610	0.0665033742302191	HiCONA	10000000.0	1
130	GM_set1_bio1	GM_set1_bio7	bio	1090957	228006	0.1110874304603181	HiCONA	10000000.0	5
131	GM_set1_bio1	GM_set1_bio7	bio	664231	54860	0.0646402075119442	HiCONA	10000000.0	10
132	GM_set1_bio1	GM_set1_bio7	bio	5703822	4285635	0.0865413606456168	HiCONA	100000000.0	0
133	GM_set1_bio1	GM_set1_bio7	bio	1919875	1134332	0.0672317416677528	HiCONA	100000000.0	1
134	GM_set1_bio1	GM_set1_bio7	bio	1091403	228091	0.1110864108335417	HiCONA	100000000.0	5
135	GM_set1_bio1	GM_set1_bio7	bio	664366	54910	0.0646713588963639	HiCONA	100000000.0	10
136	GM_set1_bio1	GM_set1_bio7	bio	3757471	2360737	0.0535730029977076	HiCONA	5000000.0	0
137	GM_set1_bio1	GM_set1_bio7	bio	1899271	1128493	0.0661298512161095	HiCONA	5000000.0	1
138	GM_set1_bio1	GM_set1_bio7	bio	1090932	228005	0.1110898635796156	HiCONA	5000000.0	5
139	GM_set1_bio1	GM_set1_bio7	bio	664219	54860	0.0646413559583014	HiCONA	5000000.0	10
140	GM_set1_bio1	GM_set1_bio7	bio	5491583	3797640	0.0797051797987349	HiCONA	50000000.0	0
141	GM_set1_bio1	GM_set1_bio7	bio	1918492	1134065	0.0671619510817201	HiCONA	50000000.0	1
142	GM_set1_bio1	GM_set1_bio7	bio	1091391	228089	0.111085849208334	HiCONA	50000000.0	5
143	GM_set1_bio1	GM_set1_bio7	bio	664366	54910	0.0646713588963639	HiCONA	50000000.0	10
144	GM_set1_bio2	GM_set1_bio3	bio	2302831	3371951	0.0738106168091594	HiCONA	10000000.0	0
145	GM_set1_bio2	GM_set1_bio3	bio	1103939	1785399	0.088313729153452	HiCONA	10000000.0	1
146	GM_set1_bio2	GM_set1_bio3	bio	331726	790637	0.1982736347621843	HiCONA	10000000.0	5
147	GM_set1_bio2	GM_set1_bio3	bio	108000	420963	0.1827908661586347	HiCONA	10000000.0	10
148	GM_set1_bio2	GM_set1_bio3	bio	3337164	4138231	0.0884149555309524	HiCONA	100000000.0	0
149	GM_set1_bio2	GM_set1_bio3	bio	1114089	1798461	0.0889274893296284	HiCONA	100000000.0	1
150	GM_set1_bio2	GM_set1_bio3	bio	331786	790936	0.1982437060619676	HiCONA	100000000.0	5
151	GM_set1_bio2	GM_set1_bio3	bio	108024	421093	0.1827702445937669	HiCONA	100000000.0	10
152	GM_set1_bio2	GM_set1_bio3	bio	2197503	3015582	0.0692856250603809	HiCONA	5000000.0	0
