	dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
0	10000000	0.01	min	optimal	26378499	2911479	1329553.4780049464	216289.2124586851	395000.0	95000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
1	10000000	0.05	min	optimal	18732984	2275623	1261555.2658348505	207276.0909869517	365000.0	95000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
2	10000000	0.1	min	optimal	4347447	833187	187783.56699920667	111437.06034779709	80000.0	70000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
3	10000000	0.25	min	optimal	4347211	833088	187776.00512144453	111420.88830951833	80000.0	70000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
4	100000000	0.01	min	optimal	34393356	3216355	9386691.486431276	325206.7262475691	855000.0	100000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
5	100000000	0.05	min	optimal	6175696	1039397	2234512.408803801	170691.72799228784	140000.0	80000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
6	100000000	0.1	min	optimal	4362322	834245	278031.8360267766	124350.19688460825	80000.0	70000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
7	100000000	0.25	min	optimal	4361956	834117	276773.794829659	122252.90936403406	80000.0	70000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
8	25000000	0.01	min	optimal	29799242	3056166	3159261.805887546	255579.99140099064	545000.0	100000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
9	25000000	0.05	min	optimal	9373400	1346068	2017436.0434847544	192732.7965600549	240000.0	85000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
