,dist,perc,time
0,500000,0.0,323.9756143093109
1,500000,0.01,309.6557424068451
2,500000,0.05,289.8721139431
3,500000,0.1,284.5493173599243
4,500000,0.25,247.82553362846375
5,10000000,0.0,394.11370396614075
6,10000000,0.01,374.4315176010132
7,10000000,0.05,349.7653839588165
8,10000000,0.1,292.50929832458496
9,10000000,0.25,235.8763952255249
10,25000000,0.0,434.8552210330963
11,25000000,0.01,414.06714367866516
12,25000000,0.05,384.85427379608154
13,25000000,0.1,261.58678436279297
14,25000000,0.25,256.4159846305847
15,50000000,0.0,468.2828371524811
16,50000000,0.01,436.43193888664246
17,50000000,0.05,397.012437582016
18,50000000,0.1,267.09894728660583
19,50000000,0.25,264.07356905937195
20,100000000,0.0,482.7624053955078
21,100000000,0.01,459.39993715286255
22,100000000,0.05,421.6523394584656
23,100000000,0.1,277.14626121520996
24,100000000,0.25,275.11972403526306
