	distance_thr	counts_thr	time (s)
0	5000000.0	0.0	603.5268478393555
0	5000000.0	0.01	567.9478635787964
0	5000000.0	0.05	462.83162093162537
0	5000000.0	0.1	377.59118008613586
0	5000000.0	0.25	314.24342679977417
0	10000000.0	0.0	485.42837738990784
0	10000000.0	0.01	539.6338646411896
0	10000000.0	0.05	425.49241065979004
0	10000000.0	0.1	416.8679656982422
0	10000000.0	0.25	416.4910218715668
0	25000000.0	0.0	601.910970211029
0	25000000.0	0.01	556.1356801986694
0	25000000.0	0.05	406.4336769580841
0	25000000.0	0.1	373.06411123275757
0	25000000.0	0.25	437.67051911354065
0	50000000.0	0.0	743.1436712741852
0	50000000.0	0.01	670.2948422431946
0	50000000.0	0.05	404.1278555393219
0	50000000.0	0.1	397.920449256897
0	50000000.0	0.25	487.150985956192
0	100000000.0	0.0	685.2897515296936
0	100000000.0	0.01	689.7996809482574
0	100000000.0	0.05	412.24246621131897
0	100000000.0	0.1	360.1548020839691
0	100000000.0	0.25	348.76408338546753
