	distance_thr	counts_thr	time (s)
0	5000000.0	0.0	1421.531896352768
0	5000000.0	0.01	1141.7725443840027
0	5000000.0	0.05	1150.3186304569244
0	5000000.0	0.1	1183.8455548286438
0	5000000.0	0.25	878.9901671409607
0	10000000.0	0.0	1283.0977277755737
0	10000000.0	0.01	1465.4922482967377
0	10000000.0	0.05	1223.9302418231964
0	10000000.0	0.1	1281.156620979309
0	10000000.0	0.25	849.6254687309265
0	25000000.0	0.0	1145.608225107193
0	25000000.0	0.01	1043.2728974819183
0	25000000.0	0.05	917.5090935230255
0	25000000.0	0.1	716.2955663204193
0	25000000.0	0.25	560.3627498149872
0	50000000.0	0.0	907.7205390930176
0	50000000.0	0.01	852.9229726791382
0	50000000.0	0.05	792.440404176712
0	50000000.0	0.1	615.1410629749298
0	50000000.0	0.25	560.0288634300232
0	100000000.0	0.0	1009.5291152000427
0	100000000.0	0.01	888.6727797985077
0	100000000.0	0.05	801.7192378044128
0	100000000.0	0.1	583.6699004173279
0	100000000.0	0.25	522.4970667362213
